"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Thu","Tue","Wed","year","temp","max","min","collisions"
"78",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,51.9,60.1,44.1,615
"79",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2012,56.8,64.9,42.8,630
"80",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,63.2,66,55,738
"81",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,57.8,66,48.9,608
"82",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,59,64,53.1,522
"83",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,57.1,59,51.8,494
"84",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2012,58,61,43,511
"85",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,60.8,64.9,39.2,598
"86",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,56.9,64.4,54,298
"87",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,53.9,64.4,50,372
"88",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,49.7,60.8,45,549
"89",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,47.7,57.2,43,439
"90",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,48.2,53.6,46,345
"91",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,42.3,48.2,37.9,479
"92",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,36.6,45,32,514
"93",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,37.1,48.2,30.9,718
"94",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,41.2,55.9,30.2,550
"95",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,43.3,53.1,36,688
"96",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,56.7,64.9,48,547
"97",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,52.4,62.6,44.1,648
"98",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,42.8,46.9,37,625
"99",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,40.4,48.2,36,623
"100",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,41.9,48.2,37.9,672
"101",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,43,53.6,37.9,585
"102",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,44.4,51.8,39.9,671
"103",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,46.5,53.6,41,689
"104",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,47.3,54,42.1,384
"105",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,48.3,54,39.2,481
"106",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,40.3,46.9,36,563
"107",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,38.7,44.6,33.8,583
"108",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,37.5,44.6,34,512
"109",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,37.5,43,32,515
"110",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,41.3,46,35.6,576
"111",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,53.5,60.1,39.2,621
"112",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,51.9,62.1,37.4,621
"113",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,52.6,57.9,39.9,514
"114",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,35,45,28,620
"115",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,38.8,48.2,26.6,714
"116",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,50.3,57.9,43,619
"117",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,50.1,59,42.8,578
"118",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,40.1,43,33.8,550
"119",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,40.3,46,32,545
"120",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,41.4,48,28,648
"121",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,42,50,39,649
"122",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,47.3,54,42.1,645
"123",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,44,48,41,590
"124",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.8,44.6,35.1,606
"125",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,47.3,55.9,39,751
"126",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,37,42.1,28.9,518
"127",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,37.5,46.4,30.2,354
"128",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,32.2,39.2,28,531
"129",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.1,52,33.1,525
"130",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,33,41,30,557
"131",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,31.5,37.4,26.1,482
"132",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.8,39.9,33.1,381
"133",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.1,33.1,21.9,480
"134",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,28.4,32,24.1,549
"135",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,33.4,37,30,505
"136",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,40.9,45,37,521
"137",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.7,48,35.1,513
"138",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,43.8,48.9,39,487
"139",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,44.3,48,39.9,555
"140",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,40.5,44.1,37,660
"141",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,52.5,72,48,542
"142",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.9,50,35.1,516
"143",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.2,37.9,32,578
"144",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.2,43,36,491
"145",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,30.2,39.9,25,561
"146",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,29.8,39.9,26.1,355
"147",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,22.4,30.9,17.1,544
"148",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,14.4,19.9,10.9,545
"149",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,16.8,21.9,12,554
"150",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,17.1,24.1,12.9,674
"151",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,31.8,34,28.9,507
"152",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.3,48,34,542
"153",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.7,59,39,497
"154",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,49.1,61,34,592
"155",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.3,34,26.1,574
"156",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,26.8,30,23,553
"157",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,29.1,30,28,566
"158",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.3,39,30,566
"159",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,29.3,35.1,26.1,526
"160",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,32.3,34,30,703
"161",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,38.5,45,32,475
"162",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.9,45,39.9,498
"163",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.2,44.1,33.1,570
"164",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.2,46,33.1,631
"165",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,43,55,37,604
"166",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,23.4,35.1,17.1,398
"167",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.2,48.9,32,477
"168",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,33.8,45,28.9,510
"169",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28,34,24.1,498
"170",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,30,37.9,25,531
"171",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,37.5,45,32,490
"172",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.9,44.1,35.1,537
"173",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,40.2,46.9,35.6,550
"174",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,45.2,51.1,43,517
"175",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,40,45,36,603
"176",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2013,32.8,42.1,27,597
"177",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2013,37.9,48.9,30.9,527
"178",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2013,40.1,44.1,37.9,475
"179",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2013,36.7,41,34,535
"180",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,34,41,30.9,851
"181",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2013,44.7,53.1,37.9,522
"182",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2013,50.3,57,48,547
"183",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2013,45,53.1,39.9,636
"184",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2013,35.6,44.1,28.9,557
"185",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,36.1,46.9,30,607
"186",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2013,32.1,36,28,623
"187",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2013,36,43,30.2,559
"188",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2013,38.5,45,32,540
"189",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2013,35.7,43,30.9,508
"190",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,34,41,28,604
"191",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2013,38.3,41,36,498
"192",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2013,42.2,53.1,37,425
"193",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2013,43.8,51.1,36,441
"194",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2013,43.3,51.1,37,549
"195",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,46.7,55,39.9,520
"196",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,49.3,62.1,44.1,479
"197",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38,46.9,33.1,437
"198",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.4,46,33.1,532
"199",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.9,53.1,33.1,566
"200",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,49,64,41,582
"201",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,59,73,51.1,582
"202",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,65.7,82,51.1,613
"203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,65.1,75.9,55,580
"204",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.2,60.1,48.2,517
"205",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.2,48.9,41,649
"206",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,49.9,59,44.1,603
"207",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,53.9,63,46.9,564
"208",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,62.7,71.1,55,535
"209",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,55.3,64,51.1,553
"210",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,60.8,71.1,54,570
"211",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,47.6,55,41,565
"212",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,45.4,53.1,41,513
"213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,52.9,69.1,44.1,598
"214",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.1,66,46,583
"215",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,57.3,66.9,50,675
"216",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,55,57,53.1,598
"217",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,57.7,68,51.1,576
"218",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,57,69.1,46.9,576
"219",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,58.9,72,48.9,585
"220",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2013,56.6,66,51.1,686
"221",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2013,55.4,69.1,46,561
"222",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2013,60.9,73.9,52,592
"223",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,60.3,66,57,620
"224",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,58.9,68,54,602
"225",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2013,66.9,79,59,698
"226",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2013,51.7,59,46,577
"227",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2013,51.1,61,42.1,565
"228",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,58,66.9,52,532
"229",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,69.5,79,62.1,559
"230",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2013,66.4,72,57.9,741
"231",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2013,65,77,57.2,657
"232",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2013,75.9,86,68,697
"233",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,71,81,59,570
"234",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,71.5,80.1,66,735
"235",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2013,59.6,66.2,46.9,668
"236",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2013,61.7,73,51.1,420
"237",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2013,61.1,66.9,55.4,686
"238",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2013,66.9,82,57.9,574
"239",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,81,90,72,685
"240",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2013,83,90,75,736
"241",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,72.2,82,68,707
"242",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,66.1,75,57,613
"243",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,66,73.9,57.9,599
"244",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,63.8,70,59,605
"245",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,61.5,64,59,791
"246",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,67.7,75,64,624
"247",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,69.6,78.1,62.1,635
"248",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,70.9,75.9,64.9,615
"249",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,65.7,73.9,60.1,534
"250",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,59.9,72,53.1,693
"251",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,75.3,84,69.1,614
"252",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,72.8,84,64.9,613
