date,wban,f0_
2020-09-20,94789,10
2020-09-20,14715,10
2020-09-20,14771,10
2020-09-20,64776,10
2020-09-20,14757,10
2020-09-20,04781,10
2020-09-20,04720,10
2020-09-20,54757,10
2020-09-20,04724,10
2020-09-20,04725,10
2020-09-20,64756,999.9
2020-09-20,54778,10
2020-09-20,14735,10
2020-09-20,94728,10
2020-09-20,54746,10
2020-09-20,94745,10
2020-09-19,64758,999.9
2020-09-19,64756,999.9
2020-09-19,04741,14.3
2020-09-19,14768,10
2020-09-19,14719,10
2020-09-19,54746,10
2020-09-19,14733,10
2020-09-19,04720,10
2020-09-19,14750,10
2020-09-19,14771,10
2020-09-19,14735,10
2020-09-19,54790,10
2020-09-19,14748,10
2020-09-19,04725,10
2020-09-19,14757,10
2020-09-19,94761,10
2020-09-19,04781,10
2020-09-19,54787,10
2020-09-19,14714,12.1
2020-09-19,94745,10
2020-09-19,64761,10
2020-09-19,54778,10
2020-09-19,99999,319.40820495264222
2020-09-19,00465,10
2020-09-19,04724,10
2020-09-19,94728,10
2020-09-19,14732,10
2020-09-19,54773,10
2020-09-19,64775,10
2020-09-19,54780,999.9
2020-09-19,94740,9.6
2020-09-19,94704,10
2020-09-19,64776,10
2020-09-19,14747,10
2020-09-19,54757,10
2020-09-19,94725,10
2020-09-19,94790,10
2020-09-19,04789,10
2020-09-19,94789,10
2020-09-19,14715,10
2020-09-18,99999,317.22820686540177
2020-09-18,14714,10
2020-09-18,54746,8.9
2020-09-18,54790,9.5
2020-09-18,14719,9.2
2020-09-18,94704,9.6
2020-09-18,14747,10
2020-09-18,04720,10
2020-09-18,14732,10
2020-09-18,04725,9.9
2020-09-18,54780,999.9
2020-09-18,14768,9.9
2020-09-18,64776,10
2020-09-18,64756,999.9
2020-09-18,94790,10
2020-09-18,00465,10
2020-09-18,54757,7.9
2020-09-18,14733,10
2020-09-18,04789,10
2020-09-18,94745,10
2020-09-18,14735,10
2020-09-18,54787,10
2020-09-18,64761,9.6
2020-09-18,04781,9.8
2020-09-18,64758,999.9
2020-09-18,94740,9.7
2020-09-18,14748,9.3
2020-09-18,54773,9.7
2020-09-18,64775,10
2020-09-18,14715,10
2020-09-18,04741,13.9
2020-09-18,54778,10
2020-09-18,14757,10
2020-09-18,94789,10
2020-09-18,04724,10
2020-09-18,94725,9
2020-09-18,94728,10
2020-09-18,14750,10
2020-09-18,14771,10
2020-09-18,94761,10
2020-09-17,99999,315.81298847978286
2020-09-17,64758,999.9
2020-09-17,64756,999.9
2020-09-17,54773,10
2020-09-17,94740,9.5
2020-09-17,14735,10
2020-09-17,14747,10
2020-09-17,04724,10
2020-09-17,14768,10
2020-09-17,14732,10
2020-09-17,94789,10
2020-09-17,54780,999.9
2020-09-17,14733,10
2020-09-17,14714,10
2020-09-17,14771,9.8
2020-09-17,54787,10
2020-09-17,94761,9.5
2020-09-17,94704,9.7
2020-09-17,14750,9.7
2020-09-17,04741,11.1
2020-09-17,94790,10
2020-09-17,64761,10
2020-09-17,00465,9.3
2020-09-17,54757,8.9
2020-09-17,54778,9.3
2020-09-17,14748,9.1
2020-09-17,64775,9.4
2020-09-17,14715,9.5
2020-09-17,04720,9.9
2020-09-17,04781,9.7
2020-09-17,54746,9.1
2020-09-17,94728,10
2020-09-17,04725,8.9
2020-09-17,14757,10
2020-09-17,94725,10
2020-09-17,94745,10
2020-09-17,14719,9.4
2020-09-17,64776,10
2020-09-17,54790,10
2020-09-17,04789,10
2020-09-16,64758,999.9
2020-09-16,14714,10
2020-09-16,14748,9.3
2020-09-16,94704,10
2020-09-16,94728,10
2020-09-16,94725,10
2020-09-16,04781,10
2020-09-16,14733,10
2020-09-16,94789,10
2020-09-16,94790,10
2020-09-16,54780,999.9
2020-09-16,54787,10
2020-09-16,14768,10
2020-09-16,94761,10
2020-09-16,14732,10
2020-09-16,54746,10
2020-09-16,14715,9.9
2020-09-16,04789,10
2020-09-16,04720,10
2020-09-16,64775,10
2020-09-16,94745,10
2020-09-16,64776,10
2020-09-16,99999,317.08680305755581
2020-09-16,00465,10
2020-09-16,14750,9.6
2020-09-16,14735,10
2020-09-16,14719,10
2020-09-16,04724,10
2020-09-16,54773,9.8
2020-09-16,64756,999.9
2020-09-16,04741,15
2020-09-16,54778,10
2020-09-16,54757,10
2020-09-16,14757,10
2020-09-16,04725,9
2020-09-16,64761,10
2020-09-16,94740,10
2020-09-16,14747,10
2020-09-16,54790,10
2020-09-16,14771,10
2020-09-15,99999,315.78677165354594
2020-09-15,00465,10
2020-09-15,94740,7.6
2020-09-15,94761,10
2020-09-15,54780,999.9
2020-09-15,54790,10
2020-09-15,54746,10
2020-09-15,14747,9.9
2020-09-15,04724,10
2020-09-15,94704,10
2020-09-15,14735,10
2020-09-15,64756,999.9
2020-09-15,04741,15
2020-09-15,04781,10
2020-09-15,94790,9.3
2020-09-15,14757,10
2020-09-15,14771,10
2020-09-15,04725,9.7
2020-09-15,14719,10
2020-09-15,14748,8.6
2020-09-15,14715,9.9
2020-09-15,64758,999.9
2020-09-15,64761,10
2020-09-15,14714,10
2020-09-15,94725,8.2
2020-09-15,54757,8
2020-09-15,04720,8.6
2020-09-15,94728,10
2020-09-15,54787,10
2020-09-15,14732,10
2020-09-15,14750,10
2020-09-15,94789,10
2020-09-15,64775,10
2020-09-15,04789,10
2020-09-15,94745,10
2020-09-15,64776,10
2020-09-15,54773,9.9
2020-09-15,14733,10
2020-09-15,14768,10
2020-09-15,54778,9.5
2020-09-14,54773,10
2020-09-14,94761,10
2020-09-14,94704,10
2020-09-14,14747,10
2020-09-14,54778,10
2020-09-14,94725,10
2020-09-14,54746,9.8
2020-09-14,14715,10
2020-09-14,14757,10
2020-09-14,14735,10
2020-09-14,54790,10
2020-09-14,14750,10
2020-09-14,14719,10
2020-09-14,94789,10
2020-09-14,14714,10
2020-09-14,04781,10
2020-09-14,14768,10
2020-09-14,00465,10
2020-09-14,94745,10
2020-09-14,99999,312.5299931911012
2020-09-14,64758,999.9
2020-09-14,64761,10
2020-09-14,04725,9.9
2020-09-14,64775,9.4
2020-09-14,14748,8.6
2020-09-14,14771,10
2020-09-14,04720,10
2020-09-14,04724,10
2020-09-14,14732,10
2020-09-14,94728,10
2020-09-14,64756,999.9
2020-09-14,04741,12.8
2020-09-14,54787,10
2020-09-14,04789,10
2020-09-14,14733,10
2020-09-14,54757,10
2020-09-14,54780,999.9
2020-09-14,94740,10
2020-09-14,94790,10
2020-09-14,64776,10
2020-09-13,99999,318.53913889842914
2020-09-13,00465,8.8
2020-09-13,04724,9.4
2020-09-13,54790,10
2020-09-13,94745,10
2020-09-13,14733,9.6
2020-09-13,14732,10
2020-09-13,64776,9.6
2020-09-13,94761,9.8
2020-09-13,14771,9.7
2020-09-13,14735,10
2020-09-13,14757,10
2020-09-13,64756,999.9
2020-09-13,64758,999.9
2020-09-13,04781,10
2020-09-13,54746,9.9
2020-09-13,94704,9.4
2020-09-13,94725,9
2020-09-13,04720,9.3
2020-09-13,14747,9
2020-09-13,04741,10
2020-09-13,94789,10
